"id","run_id","dataitem_id","qualified_worker_type","assigned_worker_id","result","qualified_at","assigned_at","completed_at","created_at","updated_at"
"1","02a57508-b0ba-40e8-8ae7-876088428709","question_1","human","human1","{'answer':'jellyfish'}","","2025-04-16 18:55:53","2025-04-16 18:57:45","2025-04-16 15:23:23","2025-04-16 18:57:44"
"2","02a57508-b0ba-40e8-8ae7-876088428709","question_1","human","human2","{'answer':'squid'}","","2025-04-16 18:56:01","2025-04-16 18:58:10","2025-04-16 15:23:23","2025-04-16 18:58:09"
"3","02a57508-b0ba-40e8-8ae7-876088428709","question_1","human","human3","{'answer':'jellyfish'}","","2025-04-16 18:56:10","2025-04-16 18:59:20","2025-04-16 15:23:23","2025-04-16 18:59:19"
"4","02a57508-b0ba-40e8-8ae7-876088428709","question_2","human","human1","{'answer':'squid'}","","2025-04-16 18:57:00","2025-04-16 19:00:00","2025-04-16 15:23:23","2025-04-16 19:00:00"
"5","02a57508-b0ba-40e8-8ae7-876088428709","question_2","human","human2","{'answer':'jellyfish'}","","2025-04-16 18:57:30","2025-04-16 19:01:00","2025-04-16 15:23:23","2025-04-16 19:01:00"
"6","02a57508-b0ba-40e8-8ae7-876088428709","question_2","human","human3","{'answer':'squid'}","","2025-04-16 18:58:00","2025-04-16 19:02:00","2025-04-16 15:23:23","2025-04-16 19:02:00"
"7","02a57508-b0ba-40e8-8ae7-876088428709","question_3","human","human1","{'answer':'octopus'}","","2025-04-16 18:58:30","2025-04-16 19:03:00","2025-04-16 15:23:23","2025-04-16 19:03:00"
"8","02a57508-b0ba-40e8-8ae7-876088428709","question_3","human","human2","{'answer':'jellyfish'}","","2025-04-16 18:58:30","2025-04-16 19:03:00","2025-04-16 15:23:23","2025-04-16 19:03:00"
"9","02a57508-b0ba-40e8-8ae7-876088428709","question_3","human","human3","{'answer':'octopus'}","","2025-04-16 18:58:30","2025-04-16 19:03:00","2025-04-16 15:23:23","2025-04-16 19:03:00"
"10","02a57508-b0ba-40e8-8ae7-876088428709","question_1","ai","GPT-4","{'answer':'jellyfish'}","","2025-04-16 18:59:00","2025-04-16 19:04:00","2025-04-16 15:23:23","2025-04-16 19:04:00"
"11","02a57508-b0ba-40e8-8ae7-876088428709","question_2","ai","GPT-4","{'answer':'squid'}","","2025-04-16 18:59:30","2025-04-16 19:05:00","2025-04-16 15:23:23","2025-04-16 19:05:00"
"12","02a57508-b0ba-40e8-8ae7-876088428709","question_3","ai","GPT-4","{'answer':'octopus'}","","2025-04-16 19:00:00","2025-04-16 19:06:00","2025-04-16 15:23:23","2025-04-16 19:06:00"
"13","02a57508-b0ba-40e8-8ae7-876088428709","question_1","ai","Claude","{'answer':'jellyfish'}","","2025-04-16 19:00:30","2025-04-16 19:07:00","2025-04-16 15:23:23","2025-04-16 19:07:00"
"14","02a57508-b0ba-40e8-8ae7-876088428709","question_2","ai","Claude","{'answer':'squid'}","","2025-04-16 19:01:00","2025-04-16 19:08:00","2025-04-16 15:23:23","2025-04-16 19:08:00"
"15","02a57508-b0ba-40e8-8ae7-876088428709","question_3","ai","Claude","{'answer':'squid'}","","2025-04-16 19:01:30","2025-04-16 19:09:00","2025-04-16 15:23:23","2025-04-16 19:09:00"
"16","02a57508-b0ba-40e8-8ae7-876088428709","question_1","ai","original_model","{'answer':'squid'}","","2025-04-16 19:02:00","2025-04-16 19:10:00","2025-04-16 15:23:23","2025-04-16 19:10:00"
"17","02a57508-b0ba-40e8-8ae7-876088428709","question_2","ai","original_model","{'answer':'jellyfish'}","","2025-04-16 19:02:30","2025-04-16 19:11:00","2025-04-16 15:23:23","2025-04-16 19:11:00"
"18","02a57508-b0ba-40e8-8ae7-876088428709","question_3","ai","original_model","{'answer':'octopus'}","","2025-04-16 19:03:00","2025-04-16 19:12:00","2025-04-16 15:23:23","2025-04-16 19:12:00"
